trip_distance,fare_amount,tip_amount,tolls_amount,trip_duration,speed,rate_code,payment_type
9.01,26.0,8.14,5.76,0.5919444444444445,15.221022993899576,1,1
0.2,3.0,0.75,0.0,0.6602777777777777,0.3029028186790072,1,1
9.65,41.5,9.61,5.76,0.3572222222222222,27.013996889580095,1,1
9.5,30.0,9.25,5.76,0.7183333333333334,13.22505800464037,1,1
5.8,21.5,4.56,0.0,0.4375,13.257142857142856,1,1
12.65,41.5,0.02,5.76,0.5636111111111111,22.444553967471663,1,1
8.92,27.0,6.71,5.76,0.5955555555555555,14.977611940298509,1,1
5.98,22.0,5.82,0.0,0.25527777777777777,23.42546245919478,1,1
12.3,38.0,9.8,0.0,0.4855555555555556,25.331807780320368,1,1
11.92,34.5,0.0,0.0,0.4627777777777778,25.75750300120048,1,1
14.12,40.0,0.0,0.0,0.4572222222222222,30.88213851761847,1,1
9.13,29.0,4.0,0.0,0.36,25.361111111111114,1,1
3.5,25.0,5.15,0.0,0.3902777777777778,8.96797153024911,1,1
11.9,44.0,10.1,5.76,0.61,19.508196721311478,1,1
12.6,38.5,4.0,0.0,0.5005555555555555,25.172031076581575,1,1
8.51,30.5,7.41,5.76,0.018055555555555554,471.32307692307694,1,1
4.25,22.5,4.86,0.0,0.5677777777777778,7.4853228962818,1,1
11.1,35.5,0.0,2.64,0.009722222222222222,1141.7142857142856,1,0
7.6,23.5,6.3,0.0,0.5122222222222222,14.837310195227765,1,1
3.4,46.0,9.36,0.0,0.48194444444444445,7.054755043227665,1,1
9.3,30.5,4.7,0.0,0.42777777777777776,21.74025974025974,1,1
11.08,32.5,8.01,5.76,0.34805555555555556,31.833998403830805,1,1
7.57,29.0,2.5,0.0,0.38416666666666666,19.704989154013017,1,1
14.28,43.0,0.0,0.0,0.6083333333333333,23.473972602739728,1,0
8.4,25.5,3.5,0.0,0.6425,13.073929961089496,1,1
5.82,21.5,2.23,0.0,0.7308333333333333,7.96351197263398,1,1
5.25,24.5,5.26,0.0,0.3983333333333333,13.179916317991632,1,1
0.2,3.0,1.05,0.0,0.7083333333333334,0.2823529411764706,1,1
9.84,30.5,6.0,5.76,0.7977777777777778,12.33426183844011,1,1
13.5,39.5,9.2,5.76,0.39694444444444443,34.00979706088174,1,1
12.0,37.0,0.0,0.0,1.1675,10.278372591006423,1,0
16.19,67.5,20.0,12.5,0.30944444444444447,52.319569120287255,3,1
8.3,25.5,6.0,5.76,0.6525,12.720306513409964,1,1
0.1,2.5,0.95,0.0,0.36138888888888887,0.2767102229054574,1,1
0.01,2.5,0.0,0.0,0.8419444444444445,0.011877268228307489,1,0
6.5,23.5,2.5,0.0,0.5563888888888889,11.682476285571642,1,1
12.4,37.0,9.55,0.0,0.7238888888888889,17.129700690713737,1,1
8.86,30.0,0.0,5.76,0.5602777777777778,15.813584531482398,1,0
4.9,23.0,6.05,0.0,0.9308333333333333,5.264100268576545,1,1
6.08,27.0,8.64,0.0,0.39944444444444444,15.221140472878998,1,1
3.86,22.0,0.0,0.0,0.7875,4.901587301587302,1,0
4.86,21.5,4.46,0.0,0.7977777777777778,6.091922005571031,1,1
9.98,33.5,0.0,0.0,0.9877777777777778,10.103487064116987,1,0
17.22,51.5,0.0,2.64,0.4061111111111111,42.40218878248974,1,1
4.7,22.5,3.5,0.0,0.45555555555555555,10.317073170731708,1,1
6.51,22.5,4.76,0.0,0.7825,8.319488817891374,1,1
10.6,38.5,7.95,0.0,0.3622222222222222,29.263803680981596,1,1
5.7,26.0,5.35,0.0,0.6741666666666667,8.454882571075402,1,1
4.1,25.5,5.46,0.0,0.5741666666666667,7.140783744557329,1,1
10.0,31.0,7.5,5.76,1.1647222222222222,8.585738134986883,1,1
8.2,25.5,0.0,5.76,0.3813888888888889,21.500364166059722,1,0
9.4,30.5,6.0,0.0,0.01638888888888889,573.5593220338983,1,1
0.28,3.0,0.0,0.0,0.38083333333333336,0.7352297592997812,1,0
21.85,60.0,13.31,5.76,0.4533333333333333,48.19852941176471,1,1
3.44,66.0,15.86,12.5,0.26222222222222225,13.118644067796609,5,1
24.18,66.0,0.0,5.76,0.5352777777777777,45.17280747275558,1,1
5.37,23.0,5.95,0.0,0.7236111111111111,7.421113243761996,1,1
14.0,40.0,15.0,0.0,0.5477777777777778,25.557809330628803,5,1
10.2,38.0,11.1,5.76,0.4688888888888889,21.753554502369667,1,1
12.1,42.5,9.8,5.76,0.6836111111111111,17.70012190166599,1,1
4.5,24.0,4.96,0.0,0.3725,12.080536912751677,1,1
7.93,26.0,5.36,0.0,0.7983333333333333,9.933194154488517,1,1
3.55,24.5,5.06,0.0,0.25472222222222224,13.936750272628133,1,1
5.78,25.5,5.46,0.0,0.5711111111111111,10.120622568093385,1,1
9.3,27.0,5.11,5.76,0.6625,14.037735849056606,1,1
15.5,45.0,10.0,0.0,0.4572222222222222,33.900364520048605,1,1
5.02,22.0,1.88,0.0,0.7719444444444444,6.503058654192155,1,1
7.6,23.5,0.0,5.76,0.5669444444444445,13.405193532582066,1,0
9.7,29.5,7.3,5.76,0.615,15.772357723577235,1,1
3.45,23.5,2.02,0.0,0.4052777777777778,8.512679917751885,1,1
10.3,29.5,9.1,5.76,0.5652777777777778,18.221130221130224,1,1
10.11,39.0,8.16,0.0,0.6,16.85,1,1
7.14,21.5,5.61,5.76,0.4872222222222222,14.654503990877993,1,1
0.05,2.5,0.0,0.0,0.9069444444444444,0.0551301684532925,1,0
6.92,23.5,6.2,0.0,0.6133333333333333,11.282608695652174,1,1
12.0,42.5,6.49,0.0,0.46305555555555555,25.91481703659268,1,1
9.0,26.5,6.6,5.76,0.3472222222222222,25.92,1,1
11.32,40.5,9.61,5.76,0.45666666666666667,24.78832116788321,1,1
5.32,22.0,4.56,0.0,0.6169444444444444,8.623142728500676,1,1
4.28,21.5,5.58,0.0,0.3438888888888889,12.445880452342488,1,1
10.9,30.5,4.0,0.0,0.32805555555555554,33.226079593564776,1,1
8.6,26.0,6.6,5.76,0.6413888888888889,13.408401905586834,1,1
9.14,29.0,0.0,5.76,0.36194444444444446,25.252494244052187,1,0
4.43,27.5,4.4,0.0,0.4897222222222222,9.045944412932501,1,1
7.69,23.5,4.0,0.0,1.0038888888888888,7.66021029330382,1,1
